prompt,base_prompt
Will Smith eating spaghetti pasta,
"A stylish woman walks down a Tokyo street filled with warm glowing neon and animated city signage. She wears a black leather jacket, a long red dress, and black boots, and carries a black purse. She wears sunglasses and red lipstick. She walks confidently and casually. The street is damp and reflective, creating a mirror effect of the colorful lights. Many pedestrians walk about.",
"Several giant wooly mammoths approach treading through a snowy meadow, their long wooly fur lightly blows in the wind as they walk, snow covered trees and dramatic snow capped mountains in the distance, mid afternoon light with wispy clouds and a sun high in the distance creates a warm glow, the low camera view is stunning capturing the large furry mammal with beautiful photography, depth of field.",
"A movie trailer featuring the adventures of the 30 year old space man wearing a red wool knitted motorcycle helmet, blue sky, salt desert, cinematic style, shot on 35mm film, vivid colors.",
"Animated scene features a close-up of a short fluffy monster kneeling beside a melting red candle. The art style is 3D and realistic, with a focus on lighting and texture. The mood of the painting is one of wonder and curiosity, as the monster gazes at the flame with wide eyes and open mouth. Its pose and expression convey a sense of innocence and playfulness, as if it is exploring the world around it for the first time. The use of warm colors and dramatic lighting further enhances the cozy atmosphere of the image.",
"A gorgeously rendered papercraft world of a coral reef, rife with colorful fish and sea creatures.",
Photorealistic closeup video of two pirate ships battling each other as they sail inside a cup of coffee.,
A close-up shot of a butterfly landing on a blooming flower,
"A close-up, slow-motion shot of a vibrant monarch butterfly gracefully landing on a blooming pink rose in a sunlit meadow, captured with a macro lens in ultra-high definition, with a shallow depth of field and golden light illuminating the scene.",A close-up shot of a butterfly landing on a blooming flower
A child runs through a field of tall grass viewed from a low angle,
"From a low-angle perspective, a joyful young child wearing a colorful outfit runs exuberantly through a vast field of tall, golden grass swaying gently in the breeze. The warm glow of the late afternoon sun casts long shadows, illuminating the scene with a soft, golden light. The sky above is a clear, vivid blue with a few wispy clouds, and the camera captures the child's movement in slow motion, highlighting the carefree and uplifting mood of the moment.",A child runs through a field of tall grass viewed from a low angle
A cyclist pedals uphill as the camera pans around him,
"An ultra-realistic, cinematic 8K video of a determined cyclist in sleek professional attire pedaling vigorously uphill on a winding mountain road surrounded by lush forests and towering mountains under a clear blue sky; golden sunlight casts dynamic shadows as the camera smoothly pans 360 degrees around him, capturing detailed motion and the breathtaking landscape in high definition.",A cyclist pedals uphill as the camera pans around him
A close-up of hands typing rapidly on a keyboard,
"A high-definition, cinematic close-up of hands with neatly trimmed nails typing rapidly and fluidly on a sleek, backlit mechanical keyboard. The ambient glow of a dimly lit room highlights the swift motion of the fingers as they dance across the keys, capturing the energy and focus of intense work. Motion blur trails accentuate the speed, and subtle reflections play on the polished surface.",A close-up of hands typing rapidly on a keyboard
A boy flying a drone over open fields,
"A young boy, around 10 years old, joyfully flies a small quadcopter drone over vast, lush green fields under a clear blue sky. The golden sunlight of late afternoon casts long shadows as the drone soars and dips gracefully above the gently waving tall grass. The scene is captured in cinematic, high-definition quality, emphasizing vibrant colors and dynamic movement to showcase the beauty of the landscape and the excitement of flight.",A boy flying a drone over open fields
"A ballet dancer rehearsing in an empty studio with mirrors reflecting her movements, her flowing dress moving elegantly as she spins",
"An elegant ballet dancer rehearses alone in a spacious, sunlit studio. Large mirrors line the walls, reflecting her every graceful movement. She wears a flowing, ethereal dress that ripples beautifully as she spins and leaps across the polished wooden floor. Golden sunlight streams through tall windows, casting soft, warm hues. The camera captures her fluid motions in slow motion and dynamic angles, highlighting the artistry and emotion in her performance.","A ballet dancer rehearsing in an empty studio with mirrors reflecting her movements, her flowing dress moving elegantly as she spins"
A horse galloping across a field with mountains in the distance,
"An elegant black stallion gallops gracefully across a lush green meadow dotted with wildflowers, its mane flowing in the wind. In the background, majestic snow-capped mountains rise against a clear blue sky. Sunlight bathes the scene in a warm glow, highlighting the horse's powerful muscles as they ripple with each stride. The camera smoothly follows in slow motion, capturing every detail of its movement, while the serene landscape stretches endlessly around.",A horse galloping across a field with mountains in the distance
A dog chasing its tail in a circle in the backyard,
"A cinematic, high-resolution video of a joyful golden retriever puppy energetically spinning in circles as it chases its own tail in a vibrant, sun-drenched backyard filled with lush green grass and blooming flowers. The scene is captured in 4K ultra-HD with a steady, close-up shot, showcasing detailed fur textures, realistic shadows, and natural lighting, emphasizing the playful and cheerful atmosphere.",A dog chasing its tail in a circle in the backyard
A boat sailing toward the horizon during sunset,
"A cinematic scene featuring a majestic wooden sailing ship with tall, billowing white sails, gliding smoothly across the tranquil ocean toward the radiant horizon during a stunning sunset. The sky is painted with vibrant shades of orange, pink, and purple, reflecting brilliantly on the glassy water surface. Gentle waves ripple against the ship's hull. The camera pans slowly to capture the expansive seascape. High-definition, ultra-realistic, 4K resolution, with dramatic lighting and rich colors.",A boat sailing toward the horizon during sunset
A girl blows out candles on a birthday cake surrounded by friends,
"At a lively indoor birthday party, an 8-year-old girl with brown hair and a pink dress leans forward to blow out eight glowing candles atop a beautifully decorated chocolate cake. She is surrounded by cheerful friends her age, clapping and laughing, all wearing colorful party hats. Bright balloons and streamers adorn the room. The camera focuses on her delighted expression in high-definition, capturing warm lighting and vibrant colors as she takes a deep breath to blow out the candles.",A girl blows out candles on a birthday cake surrounded by friends
